VAR1,VAR2,VAR3,VAR4,TRAITEMENT,CIBLE
0.015094,C,0.366305,0.805962,T0,0
0.565127,A,0.650894,0.670533,T0,0
0.400678,A,0.202089,0.106898,T0,1
0.520210,B,,0.643838,T0,0
0.120742,B,0.819230,0.374633,T0,0
0.914623,C,0.985132,0.021801,T0,0
0.988767,B,0.375908,0.371750,T0,0
0.333302,B,0.136996,0.409181,T0,0
0.781956,B,0.335278,0.498639,T0,0
0.190564,B,0.048218,0.967819,T0,0
0.563835,C,0.071496,0.107095,T0,0
0.689904,C,0.477921,0.389147,T0,0
0.766895,C,0.004860,0.960827,T0,0
0.995659,C,0.175182,0.330792,T0,0
0.155699,C,0.845457,0.143659,T0,0
0.890994,C,0.449447,0.484515,T0,0
0.389258,C,0.885385,0.742331,T0,0
0.752560,A,0.625884,0.876502,T0,0
0.993266,A,0.721130,0.574831,T0,0
0.338850,A,0.888676,0.418253,T0,0
0.186564,C,0.091007,0.387085,T0,0
0.040016,C,0.823179,0.123031,T0,0
0.810937,C,0.230778,0.338463,T0,0
0.750395,C,0.157775,0.714980,T0,0
0.098661,C,0.568066,0.768839,T0,0
0.069812,B,0.360404,0.846163,T0,0
0.784491,C,,0.608138,T0,0
0.790608,C,0.957972,0.020358,T0,0
0.647868,A,0.812744,0.475063,T0,0
0.299612,A,0.684750,0.877978,T0,1
0.452007,A,0.217900,0.821729,T0,1
0.065061,B,0.529263,0.701426,T0,0
0.206823,B,0.301221,0.939059,T0,0
0.289022,C,0.670454,0.369271,T0,0
0.956799,B,0.063440,0.623898,T0,0
0.390782,A,0.474396,0.687100,T0,1
0.849403,C,,0.384957,T0,0
0.596122,B,0.240151,0.444359,T0,0
0.149942,C,0.230479,0.429591,T0,0
0.295467,C,,0.634730,T0,0
0.488379,B,0.364088,0.770989,T0,0
0.195595,B,0.243524,0.659770,T0,0
0.098569,C,0.565223,0.872905,T0,0
0.474826,C,0.423741,0.234586,T0,0
0.063825,A,0.064031,0.163248,T0,1
0.218201,B,0.526557,0.368223,T0,0
0.915728,C,0.844246,0.334901,T0,0
0.421750,C,,0.545838,T0,0
0.025051,B,0.261897,0.836151,T0,0
0.329607,A,0.812671,0.433377,T0,0
0.737882,A,0.672756,0.229857,T0,0
0.521038,C,0.610097,0.492945,T0,0
0.932637,C,0.582721,0.027914,T0,0
0.419188,A,0.023270,0.506342,T0,1
0.910105,C,,0.205113,T0,0
0.535722,A,0.291886,0.377240,T0,0
0.964521,B,0.842012,0.540756,T0,0
0.210361,A,0.575163,0.326545,T0,1
0.110935,B,0.020992,0.352608,T0,0
0.892898,A,0.933118,0.252973,T0,0
0.361254,C,0.984156,0.426588,T0,0
0.046779,B,,0.646384,T0,0
0.605423,A,0.456993,0.133158,T0,0
0.041888,C,,0.822187,T0,0
0.244300,A,0.402247,0.313644,T0,1
0.148771,A,0.818781,0.983691,T0,0
0.083972,C,0.435830,0.162266,T0,0
0.759995,C,0.733903,0.563135,T0,0
0.609379,B,0.147751,0.237469,T0,0
0.691994,C,0.256550,0.187402,T0,0
0.961375,C,0.356924,0.175545,T0,0
0.537133,B,0.276987,0.304902,T0,0
0.899825,A,,0.539085,T0,0
0.027758,C,0.581048,0.543244,T0,0
0.511984,C,0.294029,0.036132,T0,0
0.657183,C,0.921984,0.416470,T0,0
0.455470,A,0.642567,0.405506,T0,1
0.694623,C,0.827613,0.200725,T0,0
0.252484,B,0.684622,0.921998,T0,0
0.653633,A,0.923372,0.144341,T0,0
0.607612,B,,0.091870,T0,0
0.162460,C,0.704874,0.296941,T0,0
0.184573,C,0.408680,0.348022,T0,0
0.529211,C,0.795565,0.145199,T0,0
0.742387,B,0.111559,0.326170,T0,0
0.516073,C,0.159467,0.670166,T0,0
