VAR1,VAR2,VAR3,VAR4,VAR5,TRAITEMENT,CIBLE
0.518624,A,0.374238,0.303903,0.410124,T0,0
0.389234,C,0.455134,0.047814,0.795211,T0,0
0.867853,B,0.173326,0.983117,0.697990,T0,0
0.368522,C,0.583461,0.649786,0.603614,T0,0
0.622851,A,0.731000,0.278133,0.193299,T0,0
0.380077,C,0.764788,0.862345,0.809340,T0,0
0.900083,C,,0.576929,0.068479,T0,0
0.239978,B,0.624759,0.696824,0.721054,T0,0
0.771321,C,0.495580,0.288509,0.552973,T0,0
0.594445,B,0.239698,0.758838,0.977996,T0,0
0.556364,C,0.202133,0.815402,0.636192,T0,0
0.168473,A,,0.159610,0.875338,T0,0
0.478003,B,0.993797,0.622979,0.461588,T0,0
0.604304,C,0.344542,0.086794,0.562782,T0,0
0.851922,B,,0.045868,0.300168,T0,0
0.020342,B,0.360265,0.568519,0.881122,T0,0
0.759492,C,0.198901,0.953895,0.054254,T0,0
0.468252,C,0.333036,0.979362,0.369612,T0,0
0.116564,A,0.338360,0.562369,0.245768,T0,1
0.411126,A,,0.620917,0.980576,T0,0
0.388615,B,0.048977,0.270492,0.273851,T0,0
0.996756,A,0.942578,0.817045,0.814623,T0,0
0.023949,B,,0.041884,0.067908,T0,0
0.709392,C,0.332000,0.058599,0.570270,T0,0
0.649046,B,0.250304,0.430766,0.118000,T0,0
0.127889,C,0.691510,0.761176,0.080182,T0,0
0.499828,C,0.596352,0.881630,0.803644,T0,0
0.372013,B,,0.236156,0.815466,T0,0
0.116769,B,,0.953803,0.561971,T0,0
0.748745,B,0.279611,0.627890,0.455902,T0,0
0.208373,A,0.612933,0.275610,0.532490,T0,1
0.846939,A,0.527261,0.544360,0.272043,T0,0
0.043352,B,0.667091,0.989302,0.089424,T0,0
0.148004,C,0.481683,0.377135,0.572646,T0,0
0.841426,B,0.463776,0.455841,0.463517,T0,0
0.474838,A,0.356918,0.255985,0.513162,T0,1
0.737500,B,,0.993973,0.480075,T0,0
0.416027,B,,0.450053,0.033410,T0,0
0.760103,C,0.981699,0.201455,0.290750,T0,0
0.218784,B,0.991602,0.522389,0.536328,T0,0
0.926686,A,0.876449,0.943752,0.155376,T0,0
0.809162,A,,0.433845,0.849833,T0,0
0.195924,B,0.264005,0.981757,0.877731,T0,0
0.025409,A,0.180688,0.628776,0.992831,T0,0
0.600331,B,0.421598,0.019556,0.230671,T0,0
0.582006,B,0.649621,0.415964,0.433990,T0,0
0.811399,B,0.119889,0.227877,0.703546,T0,0
0.247430,B,0.981146,0.309374,0.884915,T0,0
0.532379,A,0.618520,0.823199,0.823435,T0,0
0.793886,A,0.418617,0.831021,0.636834,T0,0
0.786887,C,0.273677,0.777214,0.384473,T0,0
0.314954,B,0.949779,0.227103,0.779646,T0,0
0.453575,C,0.551949,0.279750,0.947068,T0,0
0.822272,C,0.482113,0.461646,0.684626,T0,0
0.088042,C,0.336445,0.446590,0.777458,T0,0
0.012531,A,0.049042,0.639145,0.910784,T0,0
0.175463,A,0.303734,0.554379,0.985073,T0,0
0.892638,A,0.081885,0.713580,0.092634,T0,0
0.243549,A,0.058676,0.720322,0.516044,T0,1
0.171298,B,0.990639,0.680135,0.888812,T0,0
0.815383,A,0.108207,0.594442,0.288948,T0,0
0.032610,C,,0.102354,0.782523,T0,0
0.074153,B,0.169841,0.970755,0.562572,T0,0
0.932561,A,0.888908,0.662227,0.783479,T0,0
0.496231,A,0.057374,0.007978,0.129901,T0,1
0.905394,B,0.096333,0.480092,0.385827,T0,0
0.808923,B,0.963676,0.302621,0.097636,T0,0
0.217106,C,0.478007,0.597188,0.002277,T0,0
0.236806,C,0.501038,0.062602,0.393515,T0,0
0.362274,A,0.080910,0.190556,0.010432,T0,1
0.849832,B,0.921204,0.251198,0.128994,T0,0
0.559629,A,0.060966,0.853123,0.424028,T0,0
0.947982,B,0.992428,0.718921,0.098702,T0,0
0.194337,A,,0.292109,0.608970,T0,1
0.672575,C,,0.601768,0.847650,T0,0
0.548688,A,0.175325,0.207947,0.030091,T0,0
0.109974,A,0.306439,0.744286,0.636717,T0,1
0.004100,B,0.391234,0.024653,0.203741,T0,0
0.617221,C,,0.172468,0.771251,T0,0
0.458968,B,0.136665,0.281924,0.001846,T0,0
0.684434,C,0.680702,0.343474,0.581586,T0,0
0.575959,C,0.290131,0.087240,0.628551,T0,0
0.874649,A,0.619133,0.786377,0.130109,T0,0
0.002118,C,0.891902,0.565564,0.527424,T0,0
0.527551,B,0.807771,0.871733,0.978105,T0,0
0.588308,B,0.702202,0.618486,0.083619,T0,0
0.512575,B,0.689811,0.524746,0.511668,T0,0
0.863963,C,0.524141,0.196796,0.332753,T0,0
0.022102,A,0.972220,0.538728,0.722759,T0,0
0.367524,B,0.109584,0.441644,0.142304,T0,0
0.456125,B,,0.056361,0.827641,T0,0
0.096257,B,,0.599380,0.640866,T0,0
0.848517,B,,0.701676,0.910906,T0,0
0.948030,A,0.929835,0.707900,0.971320,T0,0
0.263427,C,0.795281,0.582144,0.903742,T0,0
0.094037,B,0.477503,0.175254,0.124837,T0,0
0.361326,C,0.940822,0.361221,0.227835,T0,0
0.356425,C,0.221884,0.690952,0.085767,T0,0
0.221245,A,0.961906,0.227562,0.425189,T0,0
0.046580,C,0.673678,0.933949,0.084628,T0,0
0.281311,B,,0.275074,0.559326,T0,0
0.953238,A,0.574202,0.917901,0.738090,T0,0
0.900345,A,,0.296773,0.093490,T0,0
0.544597,C,0.119327,0.518878,0.251503,T0,0
0.242529,C,0.991546,0.555350,0.777884,T0,0
0.846822,A,0.721966,0.434987,0.499794,T0,0
0.110155,A,0.683629,0.495600,0.071296,T0,1
0.045133,C,0.119295,0.181522,0.647150,T0,0
0.947010,A,0.989369,0.543841,0.596642,T0,0
0.239064,B,0.436582,0.346094,0.477476,T0,0
0.398974,B,0.116707,0.358330,0.306411,T0,0
0.149801,B,0.599922,0.713565,0.906233,T0,0
0.859195,A,0.402667,0.000732,0.582109,T0,0
0.796392,A,0.908132,0.537939,0.306370,T0,0
0.225436,A,0.056792,0.163441,0.852936,T0,0
0.455775,C,0.101572,0.194491,0.076662,T0,0
0.097121,C,0.058326,0.194914,0.466076,T0,0
0.110736,B,0.180768,0.014430,0.108317,T0,0
0.787847,B,0.426109,0.165584,0.400447,T0,0
0.852251,B,0.104708,0.919497,0.902997,T0,0
0.744751,B,0.336661,0.814670,0.917139,T0,0
0.945628,A,,0.305587,0.131473,T0,0
0.257421,A,0.912648,0.623813,0.875112,T0,0
0.885964,C,0.685203,0.555422,0.437433,T0,0
0.255388,A,0.281990,0.699788,0.981469,T0,0
0.718111,B,0.770834,0.027708,0.149900,T0,0
0.789696,B,0.640404,0.811466,0.850471,T0,0
0.018003,B,0.482704,0.401944,0.417082,T0,0
0.420483,B,0.505065,0.768221,0.439357,T0,0
0.407956,A,0.038551,0.773412,0.366492,T0,1
0.160252,A,0.672527,0.633739,0.969507,T0,0
0.306150,A,0.319445,0.391838,0.097681,T0,1
0.598026,A,0.011632,0.695606,0.653912,T0,0
0.027847,A,0.703162,0.558163,0.068922,T0,1
0.784359,B,0.417661,0.239422,0.346648,T0,0
0.991460,C,0.848706,0.489523,0.155587,T0,0
0.322939,A,0.867419,0.928747,0.749184,T0,0
0.578742,B,0.613789,0.269181,0.621740,T0,0
0.190512,A,0.229561,0.561754,0.172478,T0,1
0.624278,B,0.649972,0.839942,0.146533,T0,0
0.618298,B,0.931638,0.336690,0.147126,T0,0
0.919423,C,0.492513,0.254599,0.758160,T0,0
0.805930,C,0.002627,0.460276,0.901435,T0,0
0.744649,A,0.611430,0.560743,0.298545,T0,0
0.819935,A,,0.349109,0.311333,T0,0
0.143213,B,0.074915,0.480173,0.545316,T0,0
0.006332,B,0.219842,0.954823,0.225343,T0,0
0.253251,B,0.812288,0.333441,0.788740,T0,0
0.177434,C,0.526583,0.735929,0.441940,T0,0
0.632280,A,0.337063,0.087456,0.795161,T0,0
0.874435,A,0.494503,0.252467,0.595428,T0,0
0.673883,B,0.625326,0.046674,0.975169,T0,0
0.258802,A,0.691040,0.806057,0.610092,T0,1
0.101736,A,0.031992,0.224129,0.510900,T0,1
0.774960,B,0.888009,0.104608,0.610990,T0,0
0.832038,C,0.347254,0.083044,0.917076,T0,0
0.834166,A,0.231146,0.303082,0.003216,T0,0
0.820288,A,0.530342,0.920355,0.755703,T0,0
0.498230,B,0.881384,0.559435,0.108858,T0,0
0.866394,B,0.178348,0.950973,0.639165,T0,0
0.979423,B,0.870374,0.918035,0.015803,T0,0
0.425413,C,,0.966116,0.391681,T0,0
0.484398,A,0.740146,0.244338,0.161383,T0,1
0.704201,C,0.093547,0.200999,0.689503,T0,0
0.449420,C,0.958628,0.803497,0.964131,T0,0
0.604610,B,0.744545,0.633930,0.724679,T0,0
0.237743,A,0.080466,0.824783,0.199289,T0,1
